x,y,z,shift
-0.99029541015625,0.1056060791015625,0.081024169921875,14724.450038875
-1.0069122314453125,0.0482025146484375,0.1136932373046875,14724.470007875001
-1.0098724365234375,0.0342559814453125,0.092041015625,14724.489976875
-0.99700927734375,0.0751495361328125,0.066680908203125,14724.509945875001
-1.0038299560546875,0.098358154296875,0.0996856689453125,14724.529914875
-0.996490478515625,0.041534423828125,0.144256591796875,14724.549882875
-0.992645263671875,-0.024169921875,0.1889190673828125,14724.569852875002
-1.0117645263671875,-0.0076904296875,0.20404052734375,14724.589821875
-0.995025634765625,0.082733154296875,0.0643768310546875,14724.609790875002
-0.9698333740234375,0.017059326171875,0.16973876953125,14724.629758875
-1.0191192626953125,-0.005096435546875,0.17486572265625,14724.649726875
-1.0182037353515625,0.0638427734375,0.1797332763671875,14724.669695875002
-0.987762451171875,0.0553131103515625,0.232818603515625,14724.689666875001
-0.998199462890625,-0.03533935546875,0.235595703125,14724.709635875
-0.9823760986328125,-0.0698394775390625,0.2275238037109375,14724.729604875001
-0.96490478515625,-0.047454833984375,0.1866912841796875,14724.749574875
-0.9783782958984375,0.0052337646484375,0.1887054443359375,14724.769544375002
-0.9987640380859375,0.0177001953125,0.167083740234375,14724.789513375
-0.9915618896484375,0.0177459716796875,0.1756134033203125,14724.809482375002
-0.98388671875,-0.0163116455078125,0.172607421875,14724.829451375
-1.0003204345703125,-0.0555572509765625,0.1582489013671875,14724.849419375001
-0.982757568359375,-0.075103759765625,0.141876220703125,14724.869388375
-0.965667724609375,-0.04962158203125,0.1443634033203125,14724.889356375
-0.9946136474609375,-0.0485992431640625,0.1569671630859375,14724.909324375001
