id,level
5960,-1472241
5970,-1065091
5980,-511122
5990,1526875
6000,2648130
6010,956424
6020,780670
6030,1501912
6040,-956575
6050,-2948085
6060,624811
6070,-1221200
6080,150452
6090,-1345832
6100,-1337140
6110,300938
6120,1237945
6130,443709
6140,2330607
6150,2967605
6160,1009058
6170,-570497
6180,775264
6190,-914855
6200,-943128
6210,-3182867
6220,-46048
6230,774542
6240,2204421
6250,69668
6260,342958
6270,-2358777
6280,-2706308
6290,1140620
6300,-1021065
6310,-501768
6320,65905
6330,737198
6340,1853610
6350,700386
6360,-641624
6370,-879467
6380,-1317636
6390,-101927
6400,1854665
6410,731723
6420,109373
6430,807009
6440,364146
6450,1392479
6460,-444569
6470,928920
6480,-1346110
6490,-997889
6500,408620
6510,-1892594
6520,-1294517
6530,-1591197
6540,1100686
6550,-652119
6560,-1102044
6570,-689374
6580,1752348
6590,264896
6600,1971258
6610,543230
6620,227271
6630,-203883
6640,1033021
6650,2636057
6660,1271229
6670,-125203
6680,59454
6690,721355
6700,-752942
6710,-1997202
6720,-1432720
6730,-1649460
6740,-2239951
6750,-1146635
6760,713055
6770,119331
6780,-1318242
6790,-321721
6800,60011
6810,1727574
6820,1939100
6830,1969550
6840,1210110
6850,373829
6860,23827
6870,-1509611
6880,-463967
6890,2395836
6900,-1009057
6910,-594844
6920,-493076
6930,-313285
6940,-102684
6950,-1072124
6960,-718408
6970,-2109871
6980,-90162
6990,106534
7000,-720024
7010,1659819
7020,1057842
7030,831662
7040,1307076
7050,1074774
7060,1179503
7070,1049648
7080,-1091949
7090,225866
7100,-1137662
7110,-1156941
7120,-3156955
7130,-259530
7140,-614511
7150,771016
7160,2027362
7170,957134
7180,-1817131
7190,-24242
7200,-9531
7210,1009290
7220,721128
7230,-1155271
7240,690692
7250,443989
7260,650545
7270,-592722
7280,-1005204
7290,503296
7300,1802986
7310,1304675
7320,-152368
7330,328206
7340,-1115130
7350,-561230
7360,-298210
7370,-974097
7380,-411328
7390,-339090
7400,765913
7410,-1990361
7420,29761
7430,-25131
7440,993220
7450,-64934
7460,-1134217
7470,-598050
7480,-21260
7490,-387265
7500,1739233
7510,1551392
7520,-547758
7530,739982
7540,-760160
7550,837190
7560,868772
7570,-1458913
7580,148247
7590,-246485
7600,-1712876
7610,-1441333
7620,110917
7630,-249067
7640,-2194748
7650,-12211
7660,-1868567
7670,-623587
7680,-12766
7690,226378
7700,1144572
7710,2225549
7720,1411230
7730,-531412
7740,925678
7750,714398
7760,342389
7770,-117361
7780,1131911
7790,951690
7800,-1463652
7810,-1457484
7820,-1323586
7830,-1116615
7840,-1803288
7850,-1717439
7860,-408236
7870,-332652
7880,2470430
7890,1455688
7900,644458
7910,170997
7920,-588241
7930,-1943904
7940,981517
7950,1095289
7960,638425
7970,-1400401
7980,321935
7990,1607527
8000,-76409
8010,-854949
8020,-183348
8030,-116973
8040,-263362
8050,-537169
8060,-994057
8070,-991230
8080,-2130876
8090,1219463
8100,1302860
8110,-2038926
8120,-896318
8130,-289023
8140,-12476
8150,1163786
8160,2277677
8170,1177400
8180,737245
8190,-2742735
8200,-443158
8210,2478380
8220,1998668
8230,-692897
8240,-2697300
8250,-277778
8260,-559379
8270,-431552
8280,-815713
8290,1003027
8300,827561
8310,-2082357
8320,-588040
8330,997030
8340,1513914
8350,1584787
8360,-956357
8370,-11976
8380,1930099
8390,3431340
8400,1619963
8410,324191
8420,481815
8430,-567299
8440,-2167938
8450,-2075298
8460,874942
8470,-1214305
8480,-2976220
8490,-1420805
8500,-1581764
8510,1755946
8520,335272
8530,-627490
8540,184100
8550,1429711
8560,2306855
8570,411094
8580,-313250
8590,1916742
8600,267943
8610,256742
8620,1482868
8630,1676958
8640,706437
8650,-764122
8660,-1256077
8670,-155405
8680,-1109670
8690,-909631
8700,-891124
8710,-709053
8720,-848192
8730,-960715
8740,-93236
8750,-293401
8760,-604651
8770,650369
8780,668909
8790,-178193
8800,1673204
8810,-1300850
8820,819272
8830,351802
8840,749075
8850,1688730
8860,285887
8870,147380
8880,-453653
8890,-1499078
8900,-1414340
8910,406283
8920,-2101786
8930,5411
8940,-2530913
8950,-452596
8960,-458207
8970,-162682
8980,2586652
8990,1490451
9000,1824168
9010,991801
9020,1093521
9030,292125
9040,-772584
9050,550155
9060,3658
9070,-1084705
9080,-697341
9090,-1016963
9100,-1412029
9110,-1147411
9120,-2627908
9130,605750
9140,762602
9150,-630798
9160,499127
9170,-1362320
9180,-943650
9190,36550
9200,-1823585
9210,46394
9220,729298
9230,1171756
9240,2258082
9250,-273363
9260,2388599
9270,-671
9280,-229033
9290,147920
9300,-1276421
9310,-1027000
9320,-427315
9330,-2175600
9340,-1327
9350,2770581
9360,959934
9370,-1325406
9380,-1102026
9390,-1246281
9400,-399182
9410,-340584
9420,-1730686
9430,-425011
9440,-811532
9450,-347680
9460,738207
9470,2914742
9480,84202
9490,-559849
9500,1296495
9510,1208808
9520,1942369
9530,211418
9540,-1923295
9550,-746704
9560,-1381248
9570,-1512270
9580,1375775
9590,-263669
9600,496583
9610,-1349059
9620,-2280960
9630,71424
9640,-288736
9650,-1226930
9660,247
9670,167206
9680,848122
9690,503306
9700,1027538
9710,2541768
9720,1534956
9730,412682
9740,-95880
9750,232684
9760,-305098
9770,-2023720
9780,558682
9790,-538335
9800,94658
9810,194047
9820,523529
9830,492912
9840,165426
9850,-1548499
9860,-295879
9870,-764037
9880,-329558
9890,-195076
9900,-1663098
9910,386472
9920,-85101
9930,-59621
9940,1692362
9950,649505
9960,2410686
9970,773938
9980,-1009698
9990,-261682
10000,1309506
10010,272521
10020,-331363
10030,-875796
10040,110321
10050,-1699941
10060,-53377
10070,198991
10080,-1593456
10090,269805
10100,220891
10110,-285524
10120,438097
10130,-1071464
10140,-729395
10150,-766282
10160,239918
10170,2334206
10180,210031
10190,719323
10200,1707993
10210,754962
10220,1587896
10230,-1582007
10240,-1159670
10250,277471
10260,-1159253
10270,-1285415
10280,867636
10290,-517458
10300,1023229
10310,1071312
10320,-1089885
10330,-538432
10340,-107044
10350,-648405
10360,-320728
10370,348846
10380,777797
10390,614350
10400,-1291838
10410,1239650
10420,1526984
10430,-1383232
10440,1000816
10450,318136
10460,-390055
10470,-740961
10480,493202
10490,-1832480
10500,-423801
10510,-419063
10520,484966
10530,-482987
10540,1076907
10550,-1370988
10560,-2521190
10570,448971
10580,593243
10590,1831829
10600,1672900
10610,501946
10620,-1469082
10630,1266678
10640,-593672
10650,1075162
10660,-177045
10670,-265101
10680,-266524
10690,-1585678
10700,1684264
10710,-53878
10720,176362
10730,-925963
10740,-966087
10750,-523480
10760,-689377
10770,-1644423
10780,50222
10790,-1651448
10800,766922
10810,788911
10820,302102
10830,2439984
10840,488714
10850,-620087
10860,1737458
10870,1257154
10880,1487137
10890,-148555
10900,-192870
10910,749512
10920,579453
10930,-888389
10940,-2357962
10950,-633491
10960,-1315981
10970,200590
10980,75365
10990,-810797
